year,resp_id,agency,loan_type,purpose,occupancy,amntch,amount,action,msa,state,county,tract,app_race,coapp_race,app_sex,coapp_sex,app_incch,app_inc,purchtype,denial1,denial2,denial3,editstatus,sequence,popch,pop,minpopch,minpop,minpctch,minpct,med_incch,med_inc,tct2msach,tct2msa,ownoccch,ownocc,ownocc4ch,ownocc4
2001,0000000001,1,1,1,2,00034,34,1,9160,10,003,0013.00,5,5,2,1,0068,68,0,,,,6,0105947,00003611,3611,00000031,31,0000.86,0.86,00070404,70404,0158.81,158.81,00001375,1375,00001252,1252
2001,0000000001,1,1,3,2,00186,186,4,9160,10,003,0013.00,8,8,4,4,,0,0,,,,6,0105948,00003611,3611,00000031,31,0000.86,0.86,00070404,70404,0158.81,158.81,00001375,1375,00001252,1252
2001,0000000001,1,1,3,2,00130,130,2,9160,10,003,0015.00,5,5,1,2,0330,330,0,,,,6,0105949,00002605,2605,00001436,1436,0055.12,55.12,00033542,33542,0075.66,75.66,00000374,374,00000775,775
2001,0000000001,1,1,3,1,00030,30,3,9160,10,003,0015.00,3,8,2,4,0011,11,0,3,1,,6,0105950,00002605,2605,00001436,1436,0055.12,55.12,00033542,33542,0075.66,75.66,00000374,374,00000775,775
2001,0000000001,1,1,3,1,00081,81,2,9160,10,003,0016.00,5,5,1,2,0136,136,0,,,,6,0105951,00002480,2480,00001958,1958,0078.95,78.95,00022240,22240,0050.17,50.17,00000252,252,00000889,889
2001,0000000001,1,1,3,1,00081,81,2,9160,10,003,0017.00,7,7,3,3,0113,113,0,,,,6,0105952,00002938,2938,00002817,2817,0095.88,95.88,00019044,19044,0042.96,42.96,00000322,322,00000736,736
2001,0000000001,1,1,3,1,00029,29,3,9160,10,003,0017.00,3,8,2,4,0025,25,0,3,4,1,6,0105953,00002938,2938,00002817,2817,0095.88,95.88,00019044,19044,0042.96,42.96,00000322,322,00000736,736
2001,0000000001,1,1,2,2,00100,100,3,9160,10,003,0019.00,7,8,3,4,0016,16,0,1,,,6,0105954,00001962,1962,00001832,1832,0093.37,93.37,00017995,17995,0040.59,40.59,00000276,276,00000747,747
2001,0000000001,1,1,3,2,00025,25,1,9160,10,003,0022.00,7,7,3,3,0159,159,0,,,,6,0105955,00003609,3609,00003340,3340,0092.55,92.55,00021528,21528,0048.56,48.56,00000533,533,00000973,973
2001,0000000001,1,1,1,1,00073,73,6,9160,10,003,0023.00,8,8,4,4,,0,0,,,,,0105956,00003486,3486,00002905,2905,0083.33,83.33,00026842,26842,0060.55,60.55,00000565,565,00001157,1157
2001,0000000001,1,1,3,2,00054,54,1,9160,10,003,0027.00,7,7,3,3,0134,134,0,,,,6,0105957,00001637,1637,00000244,244,0014.91,14.91,00028661,28661,0064.65,64.65,00000518,518,00000741,741
2001,0000000001,1,1,3,1,00120,120,1,9160,10,003,0101.01,5,5,1,2,0090,90,0,,,,6,0105958,00004896,4896,00001316,1316,0026.88,26.88,00032033,32033,0072.26,72.26,00000518,518,00000723,723
2001,0000000001,1,1,3,1,00050,50,3,9160,10,003,0101.01,5,8,2,4,0028,28,0,4,,,6,0105959,00004896,4896,00001316,1316,0026.88,26.88,00032033,32033,0072.26,72.26,00000518,518,00000723,723
2001,0000000001,1,1,2,1,00031,31,1,9160,10,003,0101.02,3,3,1,2,0055,55,0,,,,6,0105960,00003679,3679,00000517,517,0014.05,14.05,00031875,31875,0071.90,71.9,00000699,699,00000959,959
2001,0000000001,1,1,1,1,00115,115,6,9160,10,003,0101.02,8,8,4,4,,0,0,,,,,0105961,00003679,3679,00000517,517,0014.05,14.05,00031875,31875,0071.90,71.9,00000699,699,00000959,959
2001,0000000001,1,1,3,1,00104,104,1,9160,10,003,0102.00,5,5,1,2,0116,116,0,,,,6,0105962,00002310,2310,00000182,182,0007.88,7.88,00050818,50818,0114.63,114.63,00000684,684,00000700,700
2001,0000000001,1,1,3,1,00035,35,1,9160,10,003,0103.00,5,5,1,2,0054,54,0,,,,6,0105963,00004382,4382,00000333,333,0007.60,7.6,00033707,33707,0076.03,76.03,00001005,1005,00001633,1633
2001,0000000001,1,1,3,1,00097,97,1,9160,10,003,0104.00,5,8,1,4,0040,40,0,,,,6,0105964,00004586,4586,00000385,385,0008.40,8.4,00047287,47287,0106.67,106.67,00001297,1297,00001427,1427
2001,0000000001,1,1,2,1,00039,39,2,9160,10,003,0104.00,7,8,3,4,0050,50,0,,,,6,0105965,00004586,4586,00000385,385,0008.40,8.4,00047287,47287,0106.67,106.67,00001297,1297,00001427,1427
2001,0000000001,1,1,3,1,00059,59,3,9160,10,003,0105.00,7,7,3,3,0080,80,0,3,4,,6,0105966,00003998,3998,00000657,657,0016.43,16.43,00048657,48657,0109.76,109.76,00001086,1086,00001247,1247
