symbol,name,ask ($),bid ($),52 week low ($),52 week high ($),market cap (billion $),p/e ratio,average daily volume
"NU","Northeast Utiliti",35.50,32.00,30.02,36.47,6.226,15.08,2006850
"CMG","Chipotle Mexican ",345.00,308.07,212.58,347.94,10.455,51.67,754891
"NVLS","Novellus Systems,",41.15,31.00,25.95,42.50,2.715,11.42,2398430
"NRG","NRG Energy, Inc. ",19.24,17.06,17.47,25.66,4.287,16.25,2891780
"NUE","Nucor Corporation",40.40,38.78,29.82,49.24,12.529,20.09,4011500
"NVDA","NVIDIA Corporatio",15.60,13.50,11.47,26.17,8.378,13.31,17956000
"NYX","NYSE Euronext Com",26.61,25.53,21.80,41.60,6.804,10.66,3015170
"ORLY","O'Reilly Automoti",83.60,80.50,53.33,81.83,10.357,23.41,1090050
"OXY","Occidental Petrol",93.59,92.56,66.36,117.89,75.586,11.81,5389250
"OMC","Omnicom Group Inc",43.48,40.87,35.27,51.25,11.774,13.29,2250620
"OKE","ONEOK, Inc. Commo",86.00,82.02,54.53,85.66,8.814,27.82,880584
"ORCL","Oracle Corporatio",26.05,25.00,24.72,36.50,130.0,16.59,32642800
"OI","Owens-Illinois, I",18.86,17.62,13.43,33.32,3.032,,2341320
"PCAR","PACCAR Inc.",38.40,32.12,31.57,58.75,13.272,15.48,3305590
"IR","Ingersoll-Rand pl",32.96,29.83,25.86,52.33,9.652,34.89,5354500
"PLL","Pall Corporation ",57.29,53.16,39.81,59.50,6.599,21.52,1378700
"PH","Parker-Hannifin C",77.55,73.03,59.26,99.40,11.485,11.31,2065100
"PDCO","Patterson Compani",34.28,27.93,26.19,36.93,3.219,15.73,1007680
"PAYX","Paychex, Inc.",31.29,27.50,25.12,33.91,10.676,20.57,3539650
